timestamp	bpm
04:14:51	70
04:15:06	70
04:15:11	80
04:15:16	86
04:15:31	86
04:15:46	86
04:15:51	85
04:15:56	88
04:16:01	90
04:16:06	89
04:16:16	90
04:16:26	89
04:16:31	88
04:16:36	89
04:16:46	88
04:16:51	87
04:16:56	86
04:17:01	85
04:17:06	84
04:17:11	83
04:17:26	83
04:17:41	83
04:17:51	84
04:18:13	84
04:18:18	85
04:18:42	70
04:18:52	71
04:18:57	87
04:19:02	95
04:19:17	88
04:19:22	76
04:19:37	76
04:19:52	76
04:20:04	76
04:20:19	76
04:20:24	74
04:20:29	73
04:20:34	74
04:20:39	77
04:20:54	77
04:21:09	77
04:21:24	77
04:21:29	77
04:21:44	77
04:21:59	77
04:22:14	77
04:22:29	80
04:22:34	84
04:22:39	83
04:22:44	83
04:22:59	83
04:23:14	83
04:23:29	83
04:23:44	83
04:23:59	84
04:24:14	84
04:24:29	84
04:24:34	85
04:24:49	85
04:25:04	85
04:25:09	87
04:25:14	87
04:25:19	88
04:25:34	88
04:25:49	88
04:25:54	89
06:09:06	70
06:09:21	72
06:09:26	85
06:09:31	91
06:09:36	90
06:09:41	89
06:09:46	87
06:09:51	86
06:09:56	85
06:10:01	86
06:10:11	87
06:10:16	88
06:10:21	87
06:10:26	86
06:10:31	87
06:10:41	88
06:10:51	89
06:11:01	90
06:11:06	91
06:11:11	97
06:11:21	97
06:11:26	96
06:11:41	95
06:11:46	96
06:11:51	95
06:11:56	94
06:12:01	93
06:12:06	92
06:12:11	92
06:12:26	93
06:12:36	92
06:12:41	90
06:12:56	89
06:13:01	88
06:13:11	87
06:13:16	88
06:13:21	91
06:13:26	91
06:13:41	90
06:13:51	91
06:13:56	92
06:14:01	94
06:14:06	95
06:14:21	96
06:14:31	98
06:14:36	100
06:14:41	102
06:14:46	105
06:14:51	110
06:14:56	112
06:15:01	111
06:15:16	111
06:15:21	112
06:15:26	112
06:15:31	111
06:15:36	110
06:15:41	113
06:15:46	116
06:15:51	120
06:15:56	123
06:16:01	126
06:16:06	128
06:16:11	131
06:16:16	133
06:16:21	135
06:16:26	137
06:16:31	140
06:16:36	142
06:16:41	144
06:16:46	146
06:16:51	147
06:16:56	148
06:17:11	148
06:17:16	149
06:17:26	150
06:17:36	151
06:17:51	151
06:18:01	150
06:18:11	149
06:18:16	148
06:18:21	146
06:18:31	144
06:18:36	140
06:18:41	133
06:18:46	129
06:18:51	126
06:18:56	120
06:19:01	114
06:19:06	110
06:19:16	107
06:19:21	94
06:19:26	89
06:19:41	91
06:19:46	95
06:19:51	98
06:19:56	104
06:20:01	110
06:20:06	117
06:20:11	125
06:20:16	132
06:20:21	139
06:20:26	143
06:20:31	146
06:20:36	147
06:20:41	148
06:20:46	149
06:20:51	150
06:20:56	151
06:21:01	152
06:21:06	153
06:21:21	153
06:21:26	152
06:21:31	150
06:21:36	143
06:21:41	135
06:21:46	132
06:21:51	127
06:21:56	117
06:22:01	105
06:22:06	97
06:22:11	100
06:22:16	97
06:22:21	92
06:22:26	88
06:22:31	89
06:22:36	88
06:22:41	91
